"","sveitarfelag","verd","staerd"
"631","Reykjavíkurborg",86366,66.7
"632","Hafnarfjarðarkaupstaður",1e+05,59.1
"633","Garðabær",70000,45
"634","Reykjavíkurborg",130000,97.6
"635","Reykjavíkurborg",85000,48.9
"636","Reykjavíkurborg",95000,55
"637","Reykjavíkurborg",117000,86
"638","Kópavogsbær",95000,102
"639","Garðabær",90000,83.8
"640","Reykjavíkurborg",81695,63.4
"641","Reykjavíkurborg",180000,170
"642","Reykjavíkurborg",66000,31.5
"643","Reykjavíkurborg",120000,65
"644","Hafnarfjarðarkaupstaður",110000,82
"645","Reykjavíkurborg",75000,70
"646","Reykjavíkurborg",85000,60
"647","Hafnarfjarðarkaupstaður",125708,94.8
"648","Reykjavíkurborg",80000,60
"649","Reykjavíkurborg",110000,113
"650","Reykjavíkurborg",70411,38.8
"651","Hafnarfjarðarkaupstaður",86650,50.6
"652","Reykjavíkurborg",109162,77
"653","Hafnarfjarðarkaupstaður",195868,195.4
"654","Hafnarfjarðarkaupstaður",130000,94
"655","Hafnarfjarðarkaupstaður",90000,60.3
"656","Reykjavíkurborg",61296,68
"657","Reykjavíkurborg",150000,87.5
"658","Reykjavíkurborg",115000,67
"659","Hafnarfjarðarkaupstaður",90000,62
"660","Reykjavíkurborg",80000,60
"661","Reykjavíkurborg",140000,88
"662","Reykjavíkurborg",130000,79
"663","Reykjavíkurborg",120000,67
"664","Reykjavíkurborg",95000,60.4
"665","Reykjavíkurborg",90000,47.8
"666","Reykjavíkurborg",1e+05,62.6
"667","Reykjavíkurborg",97000,56.6
"668","Garðabær",105000,108
"669","Reykjavíkurborg",165233,120.5
